Component,Cost (USD),CED (MJ), Global warming (kg CO2 eq), Stratospheric ozone depletion (kg CFC-11 eq), Ionizing radiation (kBq Co-60 eq), Ozone formation, Human health (kg NOx eq), Fine particulate matter formation (kg PM2.5 eq), Ozone formation, Terrestrial ecosystems (kg NOx eq), Terrestrial acidification (mol H+ eq), Freshwater eutrophication (kg P eq), Marine eutrophication (kg N eq)," Terrestrial ecotoxicity (kg 1,4-DCB eq)"," Freshwater ecotoxicity (kg 1,4-DCB eq)"," Marine ecotoxicity (kg 1,4-DCB eq)"," Human carcinogenic toxicity (kg 1,4-DCB eq)"," Human non-carcinogenic toxicity (kg 1,4-DCB eq)", Land use (m2 crop eq), Mineral resource scarcity (kg Cu eq), Fossil resource scarcity (kg oil eq), Water consumption (m3)
Bio-ethanol,1.3,20,0.06,7.00E-07,0.0003,0.0002,1.50E-05,0.0002,0.0002,5.00E-06,7.00E-05,0.002,0.0007,0.0008,0.003,0.014,1,4.00E-05,0.01,0.02,0.01,0.02
Triolein,1,1.2,0.01,2.00E-08,2.00E-05,0.0001,7.00E-06,0.0001,0.0001,2.00E-06,3.00E-05,0.001,0.0003,0.0003,0.0006,0.002,0.08,1.00E-05,0.01,0.004,0.01,0.004
