Component,Cost (USD),CED (MJ), Global warming (kg CO2 eq), Stratospheric ozone depletion (kg CFC-11 eq), Ionizing radiation (kBq Co-60 eq), Ozone formation, Human health (kg NOx eq), Fine particulate matter formation (kg PM2.5 eq), Ozone formation, Terrestrial ecosystems (kg NOx eq), Terrestrial acidification (mol H+ eq), Freshwater eutrophication (kg P eq), Marine eutrophication (kg N eq)," Terrestrial ecotoxicity (kg 1,4-DCB eq)"," Freshwater ecotoxicity (kg 1,4-DCB eq)"," Marine ecotoxicity (kg 1,4-DCB eq)"," Human carcinogenic toxicity (kg 1,4-DCB eq)"," Human non-carcinogenic toxicity (kg 1,4-DCB eq)", Land use (m2 crop eq), Mineral resource scarcity (kg Cu eq), Fossil resource scarcity (kg oil eq), Water consumption (m3)
Steam,0.02,2.85,2.00E-01,1.10E-07,0.0021,2.10E-04,2.00E-05,2.20E-04,6.80E-04,1.80E-06,2.50E-04,8.80E-04,5.00E-04,6.60E-04,2.80E-04,3.30E-03,2.00E-05,8.20E-06,0.072,0.0014,0.072,0.0014
Process water,0.002,0.0045,2.20E-04,1.00E-09,1.10E-06,2.00E-07,3.00E-07,2.20E-07,5.00E-07,3.50E-08,4.00E-07,1.10E-08,6.00E-09,7.00E-09,3.50E-09,7.70E-07,3.10E-07,9.00E-09,0.00004,0.001,0.00004,0.001
Cooling water,0.00075,0.003,1.00E-04,3.00E-10,5.00E-07,1.20E-07,1.50E-07,1.30E-07,1.80E-07,8.00E-09,6.00E-08,1.30E-09,8.00E-10,1.20E-09,6.00E-10,2.80E-07,1.10E-07,3.80E-09,0.00002,0.001,0.00002,0.001
